             x_1             y_1             x_2             y_2
 -2.59740337e+02 -1.05321886e+03 -4.61380233e+02 -6.88479193e+02
 -2.59902592e+02 -1.05807736e+03 -4.65204503e+02 -6.87888034e+02
 -2.60188337e+02 -1.06295596e+03 -4.69024831e+02 -6.87221400e+02
 -2.60598026e+02 -1.06785177e+03 -4.72839494e+02 -6.86479392e+02
 -2.61132051e+02 -1.07276194e+03 -4.76646770e+02 -6.85662148e+02
 -2.61790734e+02 -1.07768357e+03 -4.80444941e+02 -6.84769849e+02
 -2.62574334e+02 -1.08261380e+03 -4.84232293e+02 -6.83802711e+02
 -2.63483041e+02 -1.08754971e+03 -4.88007120e+02 -6.82760993e+02
 -2.64516979e+02 -1.09248843e+03 -4.91767720e+02 -6.81644992e+02
 -2.65676205e+02 -1.09742704e+03 -4.95512398e+02 -6.80455044e+02
 -2.66960711e+02 -1.10236266e+03 -4.99239469e+02 -6.79191524e+02
 -2.68370419e+02 -1.10729239e+03 -5.02947256e+02 -6.77854846e+02
 -2.69905189e+02 -1.11221333e+03 -5.06634092e+02 -6.76445461e+02
 -2.71564808e+02 -1.11712259e+03 -5.10298321e+02 -6.74963861e+02
 -2.73349003e+02 -1.12201729e+03 -5.13938299e+02 -6.73410573e+02
 -2.75257430e+02 -1.12689455e+03 -5.17552393e+02 -6.71786165e+02
 -2.77289682e+02 -1.13175149e+03 -5.21138987e+02 -6.70091240e+02
 -2.79445283e+02 -1.13658528e+03 -5.24696476e+02 -6.68326437e+02
 -2.81723693e+02 -1.14139304e+03 -5.28223270e+02 -6.66492436e+02
 -2.84124306e+02 -1.14617195e+03 -5.31717798e+02 -6.64589949e+02
 -2.86646452e+02 -1.15091920e+03 -5.35178504e+02 -6.62619727e+02
 -2.89289396e+02 -1.15563197e+03 -5.38603849e+02 -6.60582555e+02
 -2.92052337e+02 -1.16030749e+03 -5.41992313e+02 -6.58479254e+02
 -2.94934410e+02 -1.16494298e+03 -5.45342397e+02 -6.56310678e+02
 -2.97934690e+02 -1.16953570e+03 -5.48652619e+02 -6.54077719e+02
 -3.01052185e+02 -1.17408293e+03 -5.51921520e+02 -6.51781300e+02
 -3.04285843e+02 -1.17858196e+03 -5.55147663e+02 -6.49422377e+02
 -3.07634548e+02 -1.18303012e+03 -5.58329631e+02 -6.47001941e+02
 -3.11097125e+02 -1.18742477e+03 -5.61466034e+02 -6.44521013e+02
 -3.14672337e+02 -1.19176327e+03 -5.64555501e+02 -6.41980648e+02
 -3.18358886e+02 -1.19604305e+03 -5.67596690e+02 -6.39381931e+02
 -3.22155416e+02 -1.20026152e+03 -5.70588283e+02 -6.36725977e+02
 -3.26060514e+02 -1.20441618e+03 -5.73528986e+02 -6.34013932e+02
 -3.30072704e+02 -1.20850452e+03 -5.76417534e+02 -6.31246973e+02
 -3.34190459e+02 -1.21252407e+03 -5.79252689e+02 -6.28426302e+02
 -3.38412191e+02 -1.21647242e+03 -5.82033241e+02 -6.25553152e+02
 -3.42736259e+02 -1.22034717e+03 -5.84758007e+02 -6.22628783e+02
 -3.47160966e+02 -1.22414597e+03 -5.87425837e+02 -6.19654482e+02
 -3.51684562e+02 -1.22786652e+03 -5.90035607e+02 -6.16631562e+02
 -3.56305246e+02 -1.23150654e+03 -5.92586226e+02 -6.13561360e+02
 -3.61021161e+02 -1.23506380e+03 -5.95076634e+02 -6.10445241e+02
 -3.65830403e+02 -1.23853613e+03 -5.97505800e+02 -6.07284591e+02
 -3.70731016e+02 -1.24192137e+03 -5.99872729e+02 -6.04080821e+02
 -3.75720996e+02 -1.24521744e+03 -6.02176456e+02 -6.00835364e+02
 -3.80798292e+02 -1.24842229e+03 -6.04416050e+02 -5.97549674e+02
 -3.85960805e+02 -1.25153392e+03 -6.06590616e+02 -5.94225229e+02
 -3.91206392e+02 -1.25455037e+03 -6.08699288e+02 -5.90863523e+02
 -3.96532864e+02 -1.25746975e+03 -6.10741241e+02 -5.87466073e+02
 -4.01937989e+02 -1.26029020e+03 -6.12715679e+02 -5.84034414e+02
 -4.07419494e+02 -1.26300993e+03 -6.14621847e+02 -5.80570096e+02
 -4.12975064e+02 -1.26562719e+03 -6.16459022e+02 -5.77074690e+02
 -4.18602347e+02 -1.26814029e+03 -6.18226519e+02 -5.73549780e+02
 -4.24298948e+02 -1.27054758e+03 -6.19923689e+02 -5.69996968e+02
 -4.30062439e+02 -1.27284750e+03 -6.21549921e+02 -5.66417868e+02
 -4.35890355e+02 -1.27503851e+03 -6.23104641e+02 -5.62814110e+02
 -4.41780196e+02 -1.27711915e+03 -6.24587312e+02 -5.59187335e+02
